"","ANALYTE_ACCESSION","GENE_SYMBOL","GENE_ALIASES","GENE_ID","GENETIC_NOMENCLATURE_ID","IMMUNOLOGY_SYMBOL","LINK","OFFICIAL_GENE_NAME","PROTEIN_ONTOLOGY_ID","PROTEIN_ONTOLOGY_NAME","PROTEIN_ONTOLOGY_SYNONYMS","PROTEIN_ONTOLOGY_SHORT_LABEL","TAXONOMY_ID","UNIPROT_ENTRY","UNIPROT_ENTRY_NAME"
"426","ANA1078","Cd19","-","12478","MGI:88319","Cd19","http://purl.obolibrary.org/obo/PR_P25918","CD19 antigen","PR:P25918","B-lymphocyte antigen CD19 (mouse)","CD19 (mouse);differentiation antigen CD19 (mouse);mCD19","mCD19",10090,"CD19_MOUSE","B-lymphocyte antigen CD19"
"427","ANA1079","ITGA3","MSK18","3675","HGNC:6139","CD49c","http://purl.obolibrary.org/obo/PR_P26006","integrin subunit alpha 3","PR:P26006","integrin alpha-3 (human)","CD49 antigen-like family member C (human);CD49c (human);GAPB3 (human);VLA-3 subunit alpha (human);galactoprotein B3 (human);hITGA3","hITGA3",9606,"ITA3_HUMAN","Integrin alpha-3"
"428","ANA1080","KLRC2","NKG2C","3822","HGNC:6375","CD159c","http://purl.obolibrary.org/obo/PR_P26717","killer cell lectin like receptor C2","PR:P26717","NKG2-C type II integral membrane protein (human)","CD159 antigen-like family member C (human);CD159c (human);NK cell receptor C (human);NKG2-C-activating NK receptor (human);hKLRC2","hKLRC2",9606,"NKG2C_HUMAN","NKG2-C type II integral membrane protein"
"429","ANA1081","DPP4","ADCP2;CD26","1803","HGNC:3009","CD26","http://purl.obolibrary.org/obo/PR_P27487","dipeptidyl peptidase 4","PR:P27487","dipeptidyl peptidase 4 (human)","ADABP (human);ADCP-2 (human);DPP IV (human);T-cell activation antigen CD26 (human);TP103 (human);adenosine deaminase complexing protein 2 (human);dipeptidyl peptidase IV (human);hDPP4","hDPP4",9606,"DPP4_HUMAN","Dipeptidyl peptidase 4"
"430","ANA1082","CD82","KAI1;SAR2;ST6;TSPAN27","3732","HGNC:6210","CD82","http://purl.obolibrary.org/obo/PR_P27701","CD82 molecule","PR:P27701","CD82 antigen (human)","C33 antigen (human);IA4 (human);hCD82;inducible membrane protein R2 (human);metastasis suppressor Kangai-1 (human);suppressor of tumorigenicity 6 protein (human);tetraspanin-27 (human);tspan-27 (human)","hCD82",9606,"CD82_HUMAN","CD82 antigen"
"431","ANA1083","CD34","-","947","HGNC:1662","CD34","http://purl.obolibrary.org/obo/PR_P28906","CD34 molecule","PR:P28906","hematopoietic progenitor cell antigen CD34 (human)","hCD34","hCD34",9606,"CD34_HUMAN","Hematopoietic progenitor cell antigen CD34"
"432","ANA1084","CD1B","-","910","HGNC:1635","CD1b","http://purl.obolibrary.org/obo/PR_P29016","CD1b molecule","PR:P29016","T-cell surface glycoprotein CD1b (human)","CD1b (human);hCD1B;human CD1b chain","hCD1B",9606,"CD1B_HUMAN","T-cell surface glycoprotein CD1b"
"433","ANA1085","CD6","-","923","HGNC:1691","CD6","http://purl.obolibrary.org/obo/PR_P30203","CD6 molecule","PR:P30203","T-cell differentiation antigen CD6 (human)","T12 (human);TP120 (human);hCD6","hCD6",9606,"CD6_HUMAN","T-cell differentiation antigen CD6"
"434","ANA538","Cxcr4","CD184;Cmkar4;LESTR;PB-CKR;PBSF/SDF-1;Sdf1r;b2b220Clo;","12767","MGI:109563","Cxcr4","http://www.ncbi.nlm.nih.gov/gene/12767","chemokine (C-X-C motif) receptor 4","PR:P70658","C-X-C chemokine receptor type 4 (mouse)","CD184 (mouse);CXC-R4 (mouse);CXCR-4 (mouse);LESTR (mouse);PB-CKR (mouse);SDF-1 receptor (mouse);fusin (mouse);leukocyte-derived seven transmembrane domain receptor (mouse);mCXCR4;pre-B-cell-derived chemokine receptor (mouse);stromal cell-derived factor 1 receptor (mouse)","mCXCR4",10090,"CXCR4_MOUSE","C-X-C chemokine receptor type 4"
"435","ANA539","Cxcr5","Blr1;CXC-R5;CXCR-5;Gpcr6;MDR15;","12145","MGI:103567","Cxcr5","http://www.ncbi.nlm.nih.gov/gene/12145","chemokine (C-X-C motif) receptor 5","PR:Q04683","C-X-C chemokine receptor type 5 (mouse)","CD185 (mouse);CXC-R5 (mouse);CXCR-5 (mouse);burkitt lymphoma receptor 1 homolog (mouse);mCXCR5","mCXCR5",10090,"CXCR5_MOUSE","C-X-C chemokine receptor type 5"
"436","ANA54","CSF2RA","CD116;CDw116;CSF2RX;CSF2RAY;CSF2RX;CSF2RY;GM-CSF-R-alpha;GMCSFR;GMR;SMDP4;CSF2RA;","1438","HGNC:2435","CSF2RA","http://www.ncbi.nlm.nih.gov/gene/1438","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)","PR:P15509","granulocyte-macrophage colony-stimulating factor receptor subunit alpha (human)","CD116 (human);CDw116 (human);GM-CSF-R-alpha (human);GMCSFR-alpha (human);GMR-alpha (human);hCSF2RA","hCSF2RA",9606,"CSF2R_HUMAN","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha"
"437","ANA540","Cxcr6","BB217514;BONZO;STRL33;","80901","MGI:1934582","Cxcr6","http://www.ncbi.nlm.nih.gov/gene/80901","chemokine (C-X-C motif) receptor 6","PR:Q9EQ16","C-X-C chemokine receptor type 6 (mouse)","CD186 (mouse);CXC-R6 (mouse);CXCR-6 (mouse);mCXCR6","mCXCR6",10090,"CXCR6_MOUSE","C-X-C chemokine receptor type 6"
"438","ANA541","Ebi3","EBI-3;IL-27;","50498","MGI:1354171","Ebi3","http://www.ncbi.nlm.nih.gov/gene/50498","Epstein-Barr virus induced gene 3","PR:O35228","interleukin-27 subunit beta (mouse)","IL-27 subunit beta (mouse);IL-27B (mouse);epstein-Barr virus-induced gene 3 protein homolog (mouse);mEBI3","mEBI3",10090,"IL27B_MOUSE","Interleukin-27 subunit beta"
"439","ANA542","Egf","AI790464;","13645","MGI:95290","Egf","http://www.ncbi.nlm.nih.gov/gene/13645","epidermal growth factor","PR:P01132","pro-epidermal growth factor (mouse)","EGF (mouse);mEGF","mEGF",10090,"EGF_MOUSE","Epidermal growth factor"
"440","ANA543","Egfr","RP23-295E4.1;9030024J15Rik;AI552599;Erbb;Errb1;Errp;Wa5;wa-2;wa2;","13649","MGI:95294","Egfr","http://www.ncbi.nlm.nih.gov/gene/13649","epidermal growth factor receptor","PR:Q01279","epidermal growth factor receptor (mouse)","mEGFR","mEGFR",10090,"EGFR_MOUSE","Epidermal growth factor receptor"
"441","ANA544","Epo","-","13856","MGI:95407","Epo","http://www.ncbi.nlm.nih.gov/gene/13856","erythropoietin","PR:P07321","erythropoietin (mouse)","mEPO","mEPO",10090,"EPO_MOUSE","Erythropoietin"
"442","ANA545","Epor","-","13857","MGI:95408","Epor","http://www.ncbi.nlm.nih.gov/gene/13857","erythropoietin receptor","PR:P14753","erythropoietin receptor (mouse)","EPO-R (mouse);mEPOR","mEPOR",10090,"EPOR_MOUSE","Erythropoietin receptor"
"443","ANA546","Fas","AI196731;APO1;APT1;CD95;TNFR6;Tnfrsf6;lpr;","14102","MGI:95484","Fas","http://www.ncbi.nlm.nih.gov/gene/14102","Fas (TNF receptor superfamily member 6)","PR:P25446","tumor necrosis factor receptor superfamily member 6 (mouse)","CD95 (mouse);FASLG receptor (mouse);apo-1 antigen (mouse);apoptosis-mediating surface antigen FAS (mouse);mFAS","mFAS",10090,"TNR6_MOUSE","Tumor necrosis factor receptor superfamily member 6"
"444","ANA547","Fasl","gld;CD178;CD95L;Fas-L;Faslg;CD95-L;Tnfsf6;APT1LG1","14103","MGI:99255","Fasl","http://www.ncbi.nlm.nih.gov/gene/14103","-","PR:P41047","tumor necrosis factor ligand superfamily member 6 (mouse)","CD178 (mouse);CD95 ligand (mouse);CD95-L (mouse);Fas antigen ligand (mouse);Fas ligand (mouse);FasL (mouse);mFASLG","mFASLG",10090,"TNFL6_MOUSE","Tumor necrosis factor ligand superfamily member 6"
"445","ANA1086","Cd28","-","12487","MGI:88327","Cd28","http://purl.obolibrary.org/obo/PR_P31041","CD28 antigen","PR:P31041","T-cell-specific surface glycoprotein CD28 (mouse)","CD28 (mouse);mCD28","mCD28",10090,"CD28_MOUSE","T-cell-specific surface glycoprotein CD28"
"446","ANA1087","CD52","CDW52;HE5","1043","HGNC:1804","CD52","http://purl.obolibrary.org/obo/PR_P31358","CD52 molecule","PR:P31358","CAMPATH-1 antigen (human)","cambridge pathology 1 antigen (human);epididymal secretory protein E5 (human);hCD52;human epididymis-specific protein 5","hCD52",9606,"CD52_HUMAN","CAMPATH-1 antigen"
"447","ANA1088","FCGR2B","CD32;FCG2;IGFR2","2213","HGNC:3618","CD32B","http://purl.obolibrary.org/obo/PR_P31994","Fc fragment of IgG receptor IIb","PR:P31994","low affinity immunoglobulin gamma Fc region receptor II-b (human)","Fc-gamma RII-b (human);Fc-gamma-RIIb (human);FcRII-b (human);IgG Fc receptor II-b (human);hFCGR2B","hFCGR2B",9606,"FCG2B_HUMAN","Low affinity immunoglobulin gamma Fc region receptor II-b"
"448","ANA1089","FCGR2C","CD32;FCG2;IGFR2","9103","HGNC:15626","CD32C","http://purl.obolibrary.org/obo/PR_P31995","Fc fragment of IgG receptor IIc (gene/pseudogene)","PR:P31995","low affinity immunoglobulin gamma Fc region receptor II-c (human)","Fc-gamma RII-c (human);Fc-gamma-RIIc (human);FcRII-c (human);IgG Fc receptor II-c (human);hFCGR2C","hFCGR2C",9606,"FCG2C_HUMAN","Low affinity immunoglobulin gamma Fc region receptor II-c"
"449","ANA1090","Cd68","-","12514","MGI:88342","Cd68","http://purl.obolibrary.org/obo/PR_P31996","CD68 antigen","PR:P31996","macrosialin (mouse)","CD68 (mouse);mCD68","mCD68",10090,"CD68_MOUSE","Macrosialin"
"450","ANA1091","CEACAM8","CGM6","1088","HGNC:1820","CD66b","http://purl.obolibrary.org/obo/PR_P31997","carcinoembryonic antigen related cell adhesion molecule 8","PR:P31997","carcinoembryonic antigen-related cell adhesion molecule 8 (human)","CD66b (human);CD67 antigen (human);carcinoembryonic antigen CGM6 (human);hCEACAM8;non-specific cross-reacting antigen NCA-95 (human)","hCEACAM8",9606,"CEAM8_HUMAN","Carcinoembryonic antigen-related cell adhesion molecule 8"
"451","ANA1092","L1CAM","CAML1;MIC5","3897","HGNC:6470","CD171","http://purl.obolibrary.org/obo/PR_P32004","L1 cell adhesion molecule","PR:P32004","neural cell adhesion molecule L1 (human)","CD171 (human);N-CAM-L1 (human);NCAM-L1 (human);hL1CAM","hL1CAM",9606,"L1CAM_HUMAN","Neural cell adhesion molecule L1"
"452","ANA1093","Cd112","Mph;Pvr;Pvrl2;Pvs","19294","MGI:97822","Nectin2","http://purl.obolibrary.org/obo/PR_P32507","nectin cell adhesion molecule 2","PR:P32507","nectin-2 (mouse)","CD112 (mouse);HveB (mouse);herpes virus entry mediator B (mouse);herpesvirus entry mediator B (mouse);mHveB;mNECTIN2;murine herpes virus entry protein B (mouse);nectin cell adhesion molecule 2 (mouse);poliovirus receptor homolog (mouse);poliovirus receptor-related protein 2 (mouse)","mNECTIN2",10090,"NECT2_MOUSE","Nectin-2"
"453","ANA548","Fgf1","Fam;Fgfa;Dffrx;Fgf-1;","14164","MGI:95515","Fgf1","http://www.ncbi.nlm.nih.gov/gene/14164","fibroblast growth factor 1","PR:P61148","fibroblast growth factor 1 (mouse)","FGF-1 (mouse);HBGF-1 (mouse);aFGF (mouse);acidic fibroblast growth factor (mouse);heparin-binding growth factor 1 (mouse);mFGF1","mFGF1",10090,"FGF1_MOUSE","Fibroblast growth factor 1"
"454","ANA549","Fgf2","Fgfb;bFGF;Fgf-2;","14173","MGI:95516","Fgfb","http://www.ncbi.nlm.nih.gov/gene/14173","fibroblast growth factor 2","PR:P15655","fibroblast growth factor 2 (mouse)","FGF-2 (mouse);HBGF-2 (mouse);bFGF (mouse);basic fibroblast growth factor (mouse);heparin-binding growth factor 2 (mouse);mFGF2","mFGF2",10090,"FGF2_MOUSE","Fibroblast growth factor 2"
"455","ANA55","CSF2RB","CITF22-45C1.4;CD131;CDw131;IL3RB;IL5RB;SMDP5;","1439","HGNC:2436","CSF2RB","http://www.ncbi.nlm.nih.gov/gene/1439","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","PR:P32927","cytokine receptor common subunit beta (human)","CD131 (human);CDw131 (human);GM-CSF/IL-3/IL-5 receptor common beta subunit (human);hCSF2RB","hCSF2RB",9606,"IL3RB_HUMAN","Cytokine receptor common subunit beta"
"456","ANA550","Flt3","B230315G04;CD135;Flk-2;Flk2;Flt-3;Ly72;wmfl;","14255","MGI:95559","Flt3","http://www.ncbi.nlm.nih.gov/gene/14255","FMS-like tyrosine kinase 3","PR:Q00342","receptor-type tyrosine-protein kinase FLT3 (mouse)","CD135 (mouse);FL cytokine receptor (mouse);FLK-2 (mouse);FLT-3 (mouse);fetal liver kinase 2 (mouse);fms-like tyrosine kinase 3 (mouse);mFLT3;tyrosine-protein kinase receptor flk-2 (mouse)","mFLT3",10090,"FLT3_MOUSE","Receptor-type tyrosine-protein kinase FLT3"
"457","ANA551","Flt3l","Ly72L;Flt3lg;","14256","MGI:95560","Flt3l","http://www.ncbi.nlm.nih.gov/gene/14256","FMS-like tyrosine kinase 3 ligand","PR:P49772","fms-related tyrosine kinase 3 ligand (mouse)","Flt3 ligand (mouse);SL cytokine (mouse);mFLT3LG","mFLT3LG",10090,"FLT3L_MOUSE","Fms-related tyrosine kinase 3 ligand"
"458","ANA552","Gdf15","SBF;MIC-1;NAG-1;","23886","MGI:1346047","Gdf15","http://www.ncbi.nlm.nih.gov/gene/23886","growth differentiation factor 15","PR:Q9Z0J7","growth/differentiation factor 15 (mouse)","GDF-15 (mouse);MIC-1 (mouse);mGDF15;macrophage inhibitory cytokine 1 (mouse)","mGDF15",10090,"GDF15_MOUSE","Growth/differentiation factor 15"
"459","ANA553","Hgf","SF;NK1;NK2;HGF/SF;SF/HGF;C230052L06Rik;","15234","MGI:96079","Hgf","http://www.ncbi.nlm.nih.gov/gene/15234","hepatocyte growth factor","PR:Q08048","hepatocyte growth factor (mouse)","SF (mouse);hepatopoietin-A (mouse);mHGF;scatter factor (mouse)","mHGF",10090,"HGF_MOUSE","Hepatocyte growth factor beta chain"
"460","ANA554","Ifna1","Ifa1;","15962","MGI:107668","Ifna1","http://www.ncbi.nlm.nih.gov/gene/15962","interferon alpha 1","PR:P01572","interferon alpha-1 (mouse)","IFN-alpha-1 (mouse);mIfna1","mIfna1",10090,"IFNA1_MOUSE","Interferon alpha-1"
"461","ANA555","Ifna10","Ifa10;","110296","MGI:107667","Ifna10","http://www.ncbi.nlm.nih.gov/gene/110296","interferon alpha 10","PR:000008911","interferon alpha-10","IFN-alpha-10;IFNA10;LeIF C;interferon alpha-6L;interferon alpha-C","IFNA10",10090,"-","-"
"462","ANA947","ENPP3","PDNP3","5169","HGNC:3358","CD203c","http://purl.obolibrary.org/obo/PR_O14638","ectonucleotide pyrophosphatase/phosphodiesterase 3","PR:O14638","ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (human)","CD203c (human);E-NPP 3 (human);NPP3 (human);PD-Ibeta (human);hENPP3;phosphodiesterase I beta (human);phosphodiesterase I/nucleotide pyrophosphatase 3 (human)","hENPP3",9606,"ENPP3_HUMAN","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3"
"463","ANA948","ADAM10","KUZ;MADM","102","HGNC:188","CD156c","http://purl.obolibrary.org/obo/PR_O14672","ADAM metallopeptidase domain 10","PR:O14672","disintegrin and metalloproteinase domain-containing protein 10 (human)","ADAM 10 (human);CD156c (human);CDw156 (human);hADAM10;kuzbanian protein homolog (human);mammalian disintegrin-metalloprotease (human)","hADAM10",9606,"ADA10_HUMAN","Disintegrin and metalloproteinase domain-containing protein 10"
"464","ANA949","NRP1","NRP;VEGF165R","8829","HGNC:8004","CD304","http://purl.obolibrary.org/obo/PR_O14786","neuropilin 1","PR:O14786","neuropilin-1 (human)","CD304 (human);hNRP1;vascular endothelial cell growth factor 165 receptor (human)","hNRP1",9606,"NRP1_HUMAN","Neuropilin-1"
"465","ANA950","NCR3","1C7;LY117","259197","HGNC:19077","CD337","http://purl.obolibrary.org/obo/PR_O14931","natural cytotoxicity triggering receptor 3","PR:O14931","natural cytotoxicity triggering receptor 3 (human)","CD337 (human);NK-p30 (human);NKp30 (human);activating natural killer receptor p30 (human);hNCR3;natural killer cell p30-related protein (human)","hNCR3",9606,"NCTR3_HUMAN","Natural cytotoxicity triggering receptor 3"
"466","ANA951","SIGLEC5","CD33L2;OBBP2","8778","HGNC:10874","CD170","http://purl.obolibrary.org/obo/PR_O15389","sialic acid binding Ig like lectin 5","PR:O15389","sialic acid-binding Ig-like lectin 5 (human)","CD170 (human);CD33 antigen-like 2 (human);OB-BP2 (human);OB-binding protein 2 (human);hSIGLEC5;obesity-binding protein 2 (human);siglec-5 (human)","hSIGLEC5",9606,"SIGL5_HUMAN","Sialic acid-binding Ig-like lectin 5"
"467","ANA952","TLR3","-","7098","HGNC:11849","CD283","http://purl.obolibrary.org/obo/PR_O15455","toll like receptor 3","PR:O15455","Toll-like receptor 3 (human)","CD283 (human);hTLR3","hTLR3",9606,"TLR3_HUMAN","Toll-like receptor 3"
"468","ANA953","Cd151","Peta3","12476","MGI:1096360","Cd151","http://purl.obolibrary.org/obo/PR_O35566","CD151 antigen","PR:O35566","CD151 antigen (mouse)","CD151 (mouse);GP27 (mouse);PETA-3 (mouse);mCD151;membrane glycoprotein SFA-1 (mouse);platelet-endothelial tetraspan antigen 3 (mouse)","mCD151",10090,"CD151_MOUSE","CD151 antigen"
"469","ANA954","PROM1","PROML1","8842","HGNC:9454","CD133","http://purl.obolibrary.org/obo/PR_O43490","prominin 1","PR:O43490","prominin-1 (human)","CD133 (human);antigen AC133 (human);hPROM1;prominin-like protein 1 (human)","hPROM1",9606,"PROM1_HUMAN","Prominin-1"
"470","ANA955","SIGLEC6","CD33L;CD33L1;OBBP1","946","HGNC:10875","CDw327","http://purl.obolibrary.org/obo/PR_O43699","sialic acid binding Ig like lectin 6","PR:O43699","sialic acid-binding Ig-like lectin 6 (human)","CD327 (human);CD33 antigen-like 1 (human);CDw327 (human);OB-BP1 (human);hSIGLEC6;obesity-binding protein 1 (human);siglec-6 (human)","hSIGLEC6",9606,"SIGL6_HUMAN","Sialic acid-binding Ig-like lectin 6"
"471","ANA956","Cd200","Mox2","-","MGI:1196990","Cd200","http://purl.obolibrary.org/obo/PR_O54901","CD200 antigen","PR:O54901","OX-2 membrane glycoprotein (mouse)","CD200 (mouse);MRC OX-2 antigen (mouse);mCD200","mCD200",10090,"OX2G_MOUSE","OX-2 membrane glycoprotein"
"472","ANA957","Cd59a","Cd59","12509","MGI:109177","Cd59a","http://purl.obolibrary.org/obo/PR_O55186","CD59a antigen","PR:O55186","CD59A glycoprotein (mouse)","mCd59a","mCd59a",10090,"CD59A_MOUSE","CD59A glycoprotein"
"473","ANA958","PLXNC1","VESPR","10154","HGNC:9106","CD232","http://purl.obolibrary.org/obo/PR_O60486","plexin C1","PR:O60486","plexin-C1 (human)","CD232 (human);hPLXNC1;virus-encoded semaphorin protein receptor (human)","hPLXNC1",9606,"PLXC1_HUMAN","Plexin-C1"
"474","ANA500","Ccr7","RP23-80N1.2;CD197;Cdw197;Cmkbr7;EBI1;Ebi1h;","12775","MGI:103011","Ccr7","http://www.ncbi.nlm.nih.gov/gene/12775","chemokine (C-C motif) receptor 7","PR:P47774","C-C chemokine receptor type 7 (mouse)","C-C CKR-7 (mouse);CC-CKR-7 (mouse);CCR-7 (mouse);CD197 (mouse);EBI1 (mouse);EBV-induced G-protein coupled receptor 1 (mouse);MIP-3 beta receptor (mouse);epstein-Barr virus-induced G-protein coupled receptor 1 (mouse);mCCR7","mCCR7",10090,"CCR7_MOUSE","C-C chemokine receptor type 7"
"475","ANA501","Ccr8","C-C;C-C CKR-8;CC-CKR-8;CCR-8;CKR-8;Cmkbr8;mCCR8;","12776","MGI:1201402","Ccr8","http://www.ncbi.nlm.nih.gov/gene/12776","chemokine (C-C motif) receptor 8","PR:P56484","C-C chemokine receptor type 8 (mouse)","C-C CKR-8 (mouse);CC-CKR-8 (mouse);CCR-8 (mouse);CDw198 (mouse);mCCR8","mCCR8",10090,"CCR8_MOUSE","C-C chemokine receptor type 8"
"476","ANA502","Ccr9","A130091K22Rik;Cmkbr10;GPR-9-6;","12769","MGI:1341902","Ccr9","http://www.ncbi.nlm.nih.gov/gene/12769","chemokine (C-C motif) receptor 9","PR:Q9WUT7","C-C chemokine receptor type 9 (mouse)","C-C CKR-9 (mouse);CC-CKR-9 (mouse);CCR-9 (mouse);CDw199 (mouse);chemokine C-C receptor 10 (mouse);mCCR9","mCCR9",10090,"CCR9_MOUSE","C-C chemokine receptor type 9"
"477","ANA503","Cd27","S152;Tnfrsf7;Tp55;","21940","MGI:88326","Cd27","http://www.ncbi.nlm.nih.gov/gene/21940","CD27 antigen","PR:P41272","CD27 antigen (mouse)","CD27 (mouse);CD27L receptor (mouse);T-cell activation antigen CD27 (mouse);mCD27;tumor necrosis factor receptor superfamily member 7 (mouse)","mCD27",10090,"CD27_MOUSE","CD27 antigen"
"478","ANA504","Cd4","L3T4;Ly-4;","12504","MGI:88335","Cd4","http://www.ncbi.nlm.nih.gov/gene/12504","CD4 antigen","PR:P06332","T-cell surface glycoprotein CD4 (mouse)","CD4 (mouse);T-cell differentiation antigen L3T4 (mouse);T-cell surface antigen T4/Leu-3 (mouse);mCD4","mCD4",10090,"CD4_MOUSE","T-cell surface glycoprotein CD4"
"479","ANA505","Cd40","RP23-428M13.1;AI326936;Bp50;GP39;HIGM1;IGM;IMD3;T-BAM;TRAP;Tnfrsf5;p50;","21939","MGI:88336","Cd40","http://www.ncbi.nlm.nih.gov/gene/21939","CD40 antigen","PR:P27512","tumor necrosis factor receptor superfamily member 5 (mouse)","B-cell surface antigen CD40 (mouse);Bp50 (mouse);CD40 (mouse);CD40L receptor (mouse);mCD40","mCD40",10090,"TNR5_MOUSE","Tumor necrosis factor receptor superfamily member 5"
"480","ANA506","Cd40lg","IGM;IMD3;Ly62;TRAP;gp39;CD154;Cd40l;HIGM1;Ly-62;T-BAM;CD40-L;Tnfsf5;","21947","MGI:88337","Cd40lg","http://www.ncbi.nlm.nih.gov/gene/21947","CD40 ligand","PR:P27548","CD40 ligand (mouse)","CD154 (mouse);CD40-L (mouse);T-cell antigen Gp39 (mouse);TNF-related activation protein (mouse);TRAP (mouse);mCD40LG;tumor necrosis factor ligand superfamily member 5 (mouse)","mCD40LG",10090,"CD40L_MOUSE","CD40 ligand, soluble form"
"481","ANA507","Cd70","Cd27l;CD27LG;Tnfsf7;","21948","MGI:1195273","Cd70","http://www.ncbi.nlm.nih.gov/gene/21948","CD70 antigen","PR:O55237","CD70 antigen (mouse)","CD27 ligand (mouse);CD27-L (mouse);CD70 (mouse);mCD70;tumor necrosis factor ligand superfamily member 7 (mouse)","mCD70",10090,"CD70_MOUSE","CD70 antigen"
"482","ANA508","Cklf","C32;CKLF1;CKLF3;CKLF4;CKLF5;Cklf2;Cklf6;UCK-1;HSPC224;1700001C14Rik;1810018M11Rik;","75458","MGI:1922708","Cklf","http://www.ncbi.nlm.nih.gov/gene/75458","chemokine-like factor","PR:Q9DAS1","chemokine-like factor (mouse)","mCKLF","mCKLF",10090,"CKLF_MOUSE","Chemokine-like factor"
"483","ANA959","TLR2","TIL4","7097","HGNC:11848","CD282","http://purl.obolibrary.org/obo/PR_O60603","toll like receptor 2","PR:O60603","Toll-like receptor 2 (human)","CD282 (human);Toll/interleukin-1 receptor-like protein 4 (human);hTLR2","hTLR2",9606,"TLR2_HUMAN","Toll-like receptor 2"
"484","ANA960","FCGR3B","CD16B;FCG3;FCGR3;IGFR3","2215","HGNC:3620","CD16b","http://purl.obolibrary.org/obo/PR_O75015","Fc fragment of IgG receptor IIIb","PR:O75015","low affinity immunoglobulin gamma Fc region receptor III-B (human)","Fc-gamma RIII-beta (human);Fc-gamma RIIIb (human);FcRIIIb (human);IgG Fc receptor III-1 (human);hFCGR3B","hFCGR3B",9606,"FCG3B_HUMAN","Low affinity immunoglobulin gamma Fc region receptor III-B"
"485","ANA961","LILRA1","LIR6","11024","HGNC:6602","CD85i","http://purl.obolibrary.org/obo/PR_O75019","leukocyte immunoglobulin like receptor A1","PR:O75019","leukocyte immunoglobulin-like receptor subfamily A member 1 (human)","CD85 antigen-like family member I (human);CD85i (human);LIR-6 (human);hLILRA1;leukocyte immunoglobulin-like receptor 6 (human)","hLILRA1",9606,"LIRA1_HUMAN","Leukocyte immunoglobulin-like receptor subfamily A member 1"
"486","ANA962","LILRB3","ILT5;LIR3","107987462","HGNC:6607","CD85a","http://purl.obolibrary.org/obo/PR_O75022","leukocyte immunoglobulin like receptor B3","PR:O75022","leukocyte immunoglobulin-like receptor subfamily B member 3 (human)","CD85 antigen-like family member A (human);CD85a (human);ILT-5 (human);LIR-3 (human);hLILRB3;immunoglobulin-like transcript 5 (human);leukocyte immunoglobulin-like receptor 3 (human);monocyte inhibitory receptor HL9 (human)","hLILRB3",9606,"LIRB3_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 3"
"487","ANA963","LILRB5","LIR8","10990","HGNC:6609","CD85c","http://purl.obolibrary.org/obo/PR_O75023","leukocyte immunoglobulin like receptor B5","PR:O75023","leukocyte immunoglobulin-like receptor subfamily B member 5 (human)","CD85 antigen-like family member C (human);CD85c (human);LIR-8 (human);hLILRB5;leukocyte immunoglobulin-like receptor 8 (human)","hLILRB5",9606,"LIRB5_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 5"
"488","ANA964","ICOSLG","B7H2;B7RP1;ICOSL;KIAA0653","23308","HGNC:17087","CD275","http://purl.obolibrary.org/obo/PR_O75144","inducible T cell costimulator ligand","PR:O75144","ICOS ligand (human)","B7 homolog 2 (human);B7-H2 (human);B7-like protein Gl50 (human);B7-related protein 1 (human);B7RP-1 (human);CD275 (human);hICOSLG","hICOSLG",9606,"ICOSL_HUMAN","ICOS ligand"
"489","ANA965","SEMA7A","CD108;SEMAL","8482","HGNC:10741","CD108","http://purl.obolibrary.org/obo/PR_O75326","semaphorin 7A (John Milton Hagen blood group)","PR:O75326","semaphorin-7A (human)","CDw108 (human);JMH blood group antigen (human);John-Milton-Hargen human blood group Ag (human);Sema K1 (human);Sema L (human);hSEMA7A;semaphorin-K1 (human);semaphorin-L (human)","hSEMA7A",9606,"SEM7A_HUMAN","Semaphorin-7A"
"490","ANA966","HMMR","IHABP;RHAMM","3161","HGNC:5012","CD168","http://purl.obolibrary.org/obo/PR_O75330","hyaluronan mediated motility receptor","PR:O75330","hyaluronan mediated motility receptor (human)","CD168 (human);hHMMR;intracellular hyaluronic acid-binding protein (human);receptor for hyaluronan-mediated motility (human)","hHMMR",9606,"HMMR_HUMAN","Hyaluronan mediated motility receptor"
"491","ANA967","NCR1","LY94","9437","HGNC:6731","CD335","http://purl.obolibrary.org/obo/PR_O76036","natural cytotoxicity triggering receptor 1","PR:O76036","natural cytotoxicity triggering receptor 1 (human)","CD335 (human);NK-p46 (human);NKp46 (human);hNCR1;hNKp46;lymphocyte antigen 94 homolog (human);natural killer cell p46-related protein (human)","hNCR1",9606,"NCTR1_HUMAN","Natural cytotoxicity triggering receptor 1"
